cityCode,cityName,countryCode,timezone,cityLat,cityLong
CANTERBURY,Canterbury,GB,Europe/London,51.2801111,1.0789849
PORTO,Porto,PT,Europe/Lisbon,41.1571514,-8.6286214
PRAGUE,Prague,CZ,Europe/Prague,50.0756294,14.4379472
SAN_ANTONIO,San Antonio,US,America/Chicago,29.4238529,-98.4935187
BOSTON,Boston,US,America/New_York,42.359627,-71.059023
BUDAPEST,Budapest,HU,Europe/Budapest,47.4975437,19.0401636
HAMPTON_VILLAGE,Hampton Village,US,America/New_York,37.029981,-76.3447463
LISBON,Lisbon,PT,Europe/Lisbon,38.7222557,-9.139389300000001
LIVERPOOL,Liverpool,US,America/New_York,43.106382,-76.217963
WOODSTOCK,Woodstock,US,America/New_York,42.0408132,-74.1182857
SYDNEY,Sydney,AU,Australia/Sydney,-33.8686949,151.2092424
LEEDS,Leeds,GB,Europe/London,53.8010181,-1.5491355
BRIGHTON,Brighton,US,America/Chicago,33.4342224,-86.9472728
GRAN_CANARIA,Gran Canaria,ES,Atlantic/Canary,27.91986,-15.54932
CADIZ,Cadiz,ES,Europe/Madrid,36.5270844,-6.288668599999999
MONTEGO_BAY,Montego Bay,JM,America/Jamaica,18.4769078,-77.89441649999999
ATLANTA,Atlanta,US,America/New_York,33.7490518,-84.38833059999999
HOUSTON,Houston,US,America/Chicago,29.7602724,-95.3693754
SEATTLE,Seattle,US,America/Los_Angeles,47.6062446,-122.3319929
TORONTO,Toronto,CA,America/Toronto,43.6534829,-79.3840939
BATH,Bath,US,America/New_York,43.9106081,-69.8205914
GLASGOW,Glasgow,GB,Europe/London,55.8637787,-4.2516991
OXFORD,Oxford,GB,Europe/London,51.7521877,-1.2576992
STRATFORD_UPON_AVON,Stratford Upon Avon,GB,Europe/London,52.191744,-1.7081343
OAHU,Oahu,US,Pacific/Honolulu,21.440106,-158.0033406
SAN_DIEGO,San Diego,US,America/Los_Angeles,32.7157493,-117.1610635
MEMPHIS,Memphis,US,America/Chicago,35.1493735,-90.0491227
COZUMEL,Cozumel,MX,America/Cancun,20.4250843,-86.92500489999999
NEW_ORLEANS,New Orleans,US,America/Chicago,29.9511267,-90.0715965
GREAT_YARMOUTH,Great Yarmouth,GB,Europe/London,52.5982334,1.7279805
VANCOUVER,Vancouver,CA,America/Vancouver,49.2830077,-123.1208179
PUERTO_PLATA,Puerto Plata,DO,America/Santo_Domingo,19.7810753,-70.6867793
SALOU,Salou,ES,Europe/Madrid,41.0777229,1.1316011
WARWICK,Warwick,US,America/New_York,41.7000473,-71.4159099
AYIA_NAPA,Ayia Napa,CY,Asia/Nicosia,34.9943871,34.0143913
WEYMOUTH,Weymouth,US,America/New_York,42.2184389,-70.941227
